Time,X,Y,Pitch,Roll,Yaw
38.753,0.246,0.037,-5.928,1.722,1.568,
38.906,0.314,0.111,-0.529,-0.274,1.455,
39.050,0.317,0.115,-5.273,0.929,1.558,
39.192,0.261,0.051,-5.962,1.919,1.539,
39.337,0.305,0.098,-6.002,2.130,1.586,
39.480,0.360,0.199,0.090,-0.851,1.544,
39.620,0.244,0.036,-5.843,1.618,1.591,
39.755,0.382,0.300,-6.410,2.651,1.601,
39.903,0.297,0.089,-0.049,-1.149,1.595,
40.046,0.266,0.055,-6.174,1.485,1.509,
40.200,0.151,-0.020,0.380,-2.101,1.596,
40.344,0.206,0.009,-5.597,1.968,1.599,
40.496,0.367,0.218,-0.812,-0.643,1.500,
40.642,0.365,0.443,-6.499,2.390,1.556,
40.781,0.300,0.093,-5.500,0.861,1.496,
40.946,0.079,-0.041,1.285,-2.018,1.689,
41.092,0.315,0.112,-6.245,2.434,1.560,
41.232,0.111,-0.035,-6.646,2.853,1.636,
41.381,0.327,0.130,-5.806,0.712,1.406,
41.532,0.364,0.211,-5.906,2.175,1.649,
41.693,0.195,0.002,-5.430,0.900,1.473,
41.867,0.184,-0.005,-6.137,1.406,1.507,
42.013,0.095,-0.038,-6.035,2.135,1.621,
42.165,0.268,0.057,-5.914,2.310,1.587,
42.308,0.172,-0.010,-6.070,2.380,1.624,
42.460,0.248,0.039,0.968,-1.522,1.609,
42.623,0.356,0.189,-6.011,2.533,1.604,
42.765,0.243,0.035,-5.901,1.962,1.556,
42.906,0.375,0.251,-6.168,1.915,1.556,
43.043,0.178,-0.008,-5.708,1.749,1.619,
43.190,0.258,0.048,-6.009,2.109,1.624,
43.329,0.208,0.009,-5.838,2.022,1.671,
43.467,0.274,0.063,-5.982,2.067,1.573,
43.604,0.271,0.060,-5.572,1.510,1.553,
43.748,0.254,0.044,0.159,-1.265,1.659,
43.881,0.220,0.018,-5.814,1.727,1.602,
44.024,0.325,0.128,-5.962,2.442,1.668,
44.163,0.123,-0.030,-5.844,1.448,1.555,
44.305,-0.004,-0.049,-5.473,1.986,1.668,
44.444,0.237,0.030,-0.850,-0.949,1.578,
44.589,0.288,0.078,-5.694,1.394,1.508,
44.723,0.256,0.046,0.331,-1.837,1.626,
44.868,0.013,-0.049,-5.396,1.349,1.590,
45.005,0.130,-0.027,0.057,-1.023,1.539,
45.147,0.282,0.071,0.506,-1.326,1.571,
45.287,0.367,0.221,-6.247,2.444,1.578,
45.425,0.136,-0.026,-5.441,1.215,1.608,
45.561,0.159,-0.016,-4.795,0.980,1.520,
45.701,0.336,0.145,-5.465,1.796,1.642,
45.842,0.159,-0.017,-5.976,1.815,1.592,
45.980,0.331,0.138,-6.163,2.898,1.703,
46.108,0.240,0.032,-0.226,-1.875,1.593,
46.250,0.036,-0.048,-5.555,1.022,1.554,
46.395,0.303,0.095,-0.169,-1.059,1.529,
46.552,0.272,0.062,-5.537,2.108,1.674,
46.724,0.281,0.070,-5.409,0.801,1.548,
46.892,0.355,0.186,-6.338,2.067,1.569,
47.062,0.361,0.202,-5.577,2.101,1.597,
47.222,0.367,0.221,-5.754,2.253,1.656,
47.359,0.215,0.014,-5.777,2.197,1.599,
47.502,0.372,0.237,-0.053,-1.256,1.645,
47.640,0.097,-0.038,0.107,-1.777,1.618,
47.776,0.286,0.076,-6.105,0.871,1.541,
47.910,0.360,0.199,-5.124,1.089,1.508,
48.068,0.086,-0.040,-5.221,1.888,1.700,
48.205,0.313,0.108,0.307,-1.264,1.593,
48.361,0.284,0.073,-6.072,2.385,1.597,
48.533,0.365,0.215,-6.425,2.579,1.628,
48.709,0.336,0.146,-6.101,2.410,1.551,
48.851,0.248,0.039,-5.849,2.110,1.590,
48.989,0.349,0.172,-5.989,2.925,1.734,
49.127,0.378,0.269,-6.716,2.933,1.612,
49.283,0.351,0.176,-6.144,2.562,1.628,
49.439,0.200,0.005,-5.900,1.517,1.607,
49.587,0.369,0.225,0.287,-1.583,1.649,
49.731,0.286,0.076,0.182,-0.976,1.538,
49.864,0.228,0.023,-6.140,2.014,1.597,
50.000,0.297,0.088,0.694,-1.640,1.678,
50.139,0.231,0.026,0.195,-1.575,1.583,
50.284,0.203,0.007,0.370,-1.697,1.572,
50.417,0.021,-0.049,0.237,-1.584,1.612,
50.556,0.070,-0.043,-5.503,1.338,1.566,
50.700,-0.360,0.236,-1.896,-8.124,2.342,
50.838,0.374,0.245,-5.531,1.364,1.575,
50.971,0.345,0.164,-6.338,2.607,1.621,
51.107,0.214,0.014,-5.354,1.841,1.608,
51.259,0.190,-0.001,-5.841,1.753,1.635,
51.390,0.191,-0.001,-5.809,2.465,1.632,
51.527,0.310,0.105,-6.430,2.136,1.604,
51.660,0.330,0.135,-6.495,2.469,1.616,
51.802,0.383,0.334,-6.215,2.693,1.676,
51.935,0.227,0.023,-5.239,1.436,1.538,
52.073,0.308,0.103,-6.042,2.027,1.516,
