Time,X,Y,Pitch,Roll,Yaw
80.079,0.285,-0.141,0.555,-1.136,0.741,
80.226,0.324,-0.202,0.641,-0.933,0.618,
80.375,0.343,-0.110,1.601,-1.591,0.725,
80.520,0.343,-0.172,1.916,-0.687,0.702,
80.663,0.286,-0.174,2.070,-1.544,0.703,
80.816,0.339,-0.157,0.983,-1.393,0.740,
80.963,0.303,-0.146,0.510,-1.829,0.627,
81.112,0.319,-0.089,1.489,-0.388,0.832,
81.259,0.300,-0.092,1.880,-1.079,0.763,
81.413,0.335,-0.128,1.461,-1.216,0.740,
81.554,0.341,-0.087,0.584,-1.180,0.727,
81.707,0.250,-0.099,1.796,-0.986,0.727,
81.892,0.288,-0.155,0.548,-1.516,0.764,
82.066,0.350,-0.158,1.460,-0.772,0.628,
82.222,0.313,-0.098,0.632,-1.438,0.673,
82.366,0.290,-0.173,2.286,-1.361,0.635,
82.515,0.336,-0.123,0.246,-1.408,0.668,
82.658,0.314,-0.115,1.336,-0.994,0.813,
82.805,0.332,-0.119,0.539,-1.676,0.720,
82.951,0.346,-0.179,1.447,-1.701,0.718,
83.101,0.241,-0.175,0.925,-1.431,0.876,
83.250,0.317,-0.129,2.099,-1.067,0.660,
83.393,0.311,-0.159,0.118,-1.549,0.606,
83.541,0.334,-0.138,0.575,-1.564,0.752,
83.690,0.328,-0.083,1.961,-1.536,0.778,
83.833,0.308,-0.099,1.398,-1.547,0.727,
83.982,0.169,-0.243,1.288,-1.483,0.834,
84.126,0.275,-0.028,1.602,-0.998,0.802,
84.271,0.338,-0.096,0.525,-1.640,0.617,
84.433,0.336,-0.177,2.221,-0.804,0.650,
84.586,0.277,-0.064,0.928,-1.281,0.665,
84.733,0.285,-0.083,1.761,-0.384,0.762,
84.900,0.268,-0.153,1.831,-0.423,0.735,
85.059,0.261,-0.154,1.402,-1.375,0.761,
85.203,0.295,-0.166,0.019,-1.088,0.671,
85.350,0.263,-0.095,0.538,-1.476,0.692,
